Crop,State,year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Moong,Kerala,2021,140.00,89.04,636.00,7275,8.892090395,166.6083333
Moong,Madhya Pradesh,2021,938100.00,1134523.70,1209.00,7275,2.906949153,166.6083333
Moong,Maharashtra,2021,402850.00,192993.65,479.00,7275,3.662909605,166.6083333
Moong,Manipur,2021,490.00,469.91,959.00,7275,2.583022599,166.6083333
Moong,Nagaland,2021,416.00,398.94,959.00,7275,2.868022599,166.6083333
Moong,Odisha,2021,249640.00,88402.66,354.00,7275,3.970112994,166.6083333
Moong,Puducherry,2021,556.00,126.77,228.00,7275,6.05759887,166.6083333
Moong,Punjab,2021,54100.00,66969.80,1238.00,7275,1.77740113,166.6083333
Moong,Rajasthan,2021,2560671.00,906477.53,354.00,7275,1.599435028,166.6083333
Moong,Tamil Nadu,2021,164190.00,62218.95,379.00,7275,3.979717514,166.6083333
Moong,Telangana,2021,51000.00,35898.00,704.00,7275,3.251638418,166.6083333
Moong,Tripura,2021,2080.00,1396.35,671.00,7275,5.003474576,166.6083333
Moong,Uttar Pradesh,2021,85000.00,53742.00,632.00,7275,2.842146893,166.6083333
Moong,West Bengal,2021,73780.00,55876.61,757.00,7275,5.570225989,166.6083333
Nigerseed,Andhra Pradesh,2021,4000.00,1428.00,357.00,6930,3.265112994,236.7333333
Nigerseed,Assam,2021,5660.00,3283.00,580.00,6930,4.238022599,236.7333333
Nigerseed,Chhattisgarh,2021,21420.00,4562.00,213.00,6930,3.365649718,236.7333333
Nigerseed,Gujarat,2021,3100.00,1321.00,426.00,6930,2.123700565,236.7333333
Nigerseed,Jharkhand,2021,2449.00,975.00,398.00,6930,4.018644068,236.7333333
Nigerseed,Karnataka,2021,400.00,100.00,250.00,6930,3.780367232,236.7333333
Nigerseed,Madhya Pradesh,2021,7000.00,2527.00,361.00,6930,2.906949153,236.7333333
Nigerseed,Maharashtra,2021,5880.00,882.00,150.00,6930,3.662909605,236.7333333
Nigerseed,Odisha,2021,46330.00,17142.00,370.00,6930,3.970112994,236.7333333
Nigerseed,West Bengal,2021,1120.00,586.00,523.00,6930,5.570225989,236.7333333
Other Pulses,Andhra Pradesh,2021,33000.00,23000.00,697.00,5917,3.265112994,171.2583333
Other Pulses,Arunachal Pradesh,2021,8252.00,9492.00,1150.00,5876,5.32799435,171.2583333
Other Pulses,Assam,2021,44196.00,39316.00,890.00,5915,4.238022599,171.2583333
Other Pulses,Bihar,2021,67660.00,69011.00,1020.00,5876,4.190960452,171.2583333
Other Pulses,Chhattisgarh,2021,193370.00,88240.00,456.00,5917,3.365649718,171.2583333
Other Pulses,Goa,2021,3804.00,3034.00,798.00,5917,10.84036723,171.2583333
Other Pulses,Gujarat,2021,60210.00,41230.00,685.00,5917,2.123700565,171.2583333
Other Pulses,Haryana,2021,6170.00,6370.00,1032.00,5876,1.925847458,171.2583333
Other Pulses,Himachal Pradesh,2021,33037.00,69804.00,2113.00,1933,2.939745763,171.2583333
Other Pulses,Jammu And Kashmir,2021,14297.00,9238.20,646.00,5917,2.869689266,171.2583333
Other Pulses,Jharkhand,2021,122510.00,109201.00,891.00,5915,4.018644068,171.2583333
Other Pulses,Karnataka,2021,258000.00,145900.00,566.00,5917,3.780367232,171.2583333
Other Pulses,Kerala,2021,720.00,770.00,1069.00,5876,8.892090395,171.2583333
Other Pulses,Ladakh,2021,1216.78,1095.10,900.00,5925,1.052090395,171.2583333
Other Pulses,Madhya Pradesh,2021,137000.00,112267.00,819.00,5915,2.906949153,171.2583333
Other Pulses,Maharashtra,2021,209920.00,127090.00,605.00,5917,3.662909605,171.2583333
Other Pulses,Manipur,2021,28990.00,27180.00,938.00,5915,2.583022599,171.2583333
Other Pulses,Meghalaya,2021,5312.00,8563.00,1612.00,4845,9.194463277,171.2583333
Other Pulses,Mizoram,2021,3668.00,5337.00,1455.00,5917,4.826723164,171.2583333
Other Pulses,Nagaland,2021,24329.00,28734.00,1181.00,5904,2.868022599,171.2583333
Other Pulses,Odisha,2021,356100.00,197410.00,554.00,5917,3.970112994,171.2583333
Other Pulses,Puducherry,2021,41.00,41.00,1000.00,5876,6.05759887,171.2583333
Other Pulses,Punjab,2021,3200.00,4400.00,1375.00,5909,1.77740113,171.2583333
Other Pulses,Rajasthan,2021,1146370.00,277170.00,242.00,5917,1.599435028,171.2583333
Other Pulses,Sikkim,2021,2430.00,2424.00,998.00,5836,8.748785311,171.2583333
Other Pulses,Tamil Nadu,2021,178290.00,119060.00,668.00,5917,3.979717514,171.2583333
Other Pulses,Telangana,2021,12000.00,9000.00,750.00,5917,3.251638418,171.2583333
Other Pulses,Tripura,2021,8224.00,6846.00,832.00,5915,5.003474576,171.2583333
Other Pulses,Uttar Pradesh,2021,391000.00,635000.00,1624.00,4754,2.842146893,171.2583333
Other Pulses,Uttarakhand,2021,33000.00,36000.00,1091.00,5876,4.910141243,171.2583333
Other Pulses,West Bengal,2021,108859.00,115058.00,1057.00,5876,5.570225989,171.2583333
Ragi,Andhra Pradesh,2021,30000.00,31140.00,1038.00,3377,3.265112994,230.225
Ragi,Arunachal Pradesh,2021,0.00,0.00,0.00,3377,5.32799435,230.225
Ragi,Bihar,2021,2445.00,2391.21,978.00,3377,4.190960452,230.225
Ragi,Chhattisgarh,2021,3380.00,1014.00,300.00,3377,3.365649718,230.225
Ragi,Dadra And Nagar Haveli,2021,845.00,1408.62,1667.00,3377,8.141299435,230.225
Ragi,Gujarat,2021,10000.00,9000.00,900.00,3377,2.123700565,230.225
Ragi,Himachal Pradesh,2021,1131.00,1059.75,937.00,3377,2.939745763,230.225
Ragi,Jammu And Kashmir,2021,0.00,0.00,0.00,3377,2.869689266,230.225
Ragi,Jharkhand,2021,19025.00,16703.95,878.00,3377,4.018644068,230.225
Ragi,Karnataka,2021,846000.00,1126872.00,1332.00,3377,3.780367232,230.225
Ragi,Kerala,2021,168.00,279.05,1661.00,3377,8.892090395,230.225
Ragi,Maharashtra,2021,81260.00,102631.38,1263.00,3377,3.662909605,230.225
Ragi,Nagaland,2021,340.00,218.96,644.00,3377,2.868022599,230.225
Ragi,Odisha,2021,54980.00,43654.12,794.00,3377,3.970112994,230.225
Ragi,Puducherry,2021,46.00,111.00,2413.00,3377,6.05759887,230.225
Ragi,Sikkim,2021,2043.00,2126.76,1041.00,3377,8.748785311,230.225
Ragi,Tamil Nadu,2021,74440.00,227488.64,3056.00,3377,3.979717514,230.225
Ragi,Uttarakhand,2021,86000.00,127108.00,1478.00,3377,4.910141243,230.225
Ragi,West Bengal,2021,5326.00,6263.38,1176.00,3377,5.570225989,230.225
Rapeseed & Mustard,Andhra Pradesh,2021,3000.00,1935.00,645.00,5050,3.265112994,200.9
Rapeseed & Mustard,Arunachal Pradesh,2021,28630.00,29603.00,1034.00,5050,5.32799435,200.9
Rapeseed & Mustard,Assam,2021,288945.00,186081.00,644.00,5050,4.238022599,200.9
Rapeseed & Mustard,Bihar,2021,78559.00,88379.00,1125.00,5050,4.190960452,200.9
Rapeseed & Mustard,Chhattisgarh,2021,36860.00,18946.00,514.00,5050,3.365649718,200.9
Rapeseed & Mustard,Delhi,2021,4240.00,5512.00,1300.00,5050,2.746836158,200.9
Rapeseed & Mustard,Gujarat,2021,251100.00,500944.00,1995.00,5050,2.123700565,200.9
Rapeseed & Mustard,Haryana,2021,713600.00,1365830.00,1914.00,5050,1.925847458,200.9
Rapeseed & Mustard,Himachal Pradesh,2021,8298.00,6705.00,808.00,5050,2.939745763,200.9
Rapeseed & Mustard,Jammu And Kashmir,2021,43017.00,33768.00,785.00,5050,2.869689266,200.9
Rapeseed & Mustard,Jharkhand,2021,406391.00,332834.00,819.00,5050,4.018644068,200.9
Rapeseed & Mustard,Kerala,2021,2.00,2.00,1000.00,5050,8.892090395,200.9
Rapeseed & Mustard,Ladakh,2021,0.00,0.00,0.00,5050,1.052090395,200.9
Rapeseed & Mustard,Madhya Pradesh,2021,1226000.00,1690654.00,1379.00,5050,2.906949153,200.9
Rapeseed & Mustard,Maharashtra,2021,29970.00,10430.00,348.00,5050,3.662909605,200.9
Rapeseed & Mustard,Manipur,2021,29570.00,19812.00,670.00,5050,2.583022599,200.9
Rapeseed & Mustard,Meghalaya,2021,9897.00,9303.00,940.00,5050,9.194463277,200.9
Rapeseed & Mustard,Mizoram,2021,660.00,405.00,614.00,5050,4.826723164,200.9
Rapeseed & Mustard,Nagaland,2021,7784.00,8072.00,1037.00,5050,2.868022599,200.9
Rapeseed & Mustard,Odisha,2021,17770.00,5740.00,323.00,5050,3.970112994,200.9
Rapeseed & Mustard,Punjab,2021,43900.00,69318.00,1579.00,5050,1.77740113,200.9
Rapeseed & Mustard,Rajasthan,2021,3366100.00,5776228.00,1716.00,5050,1.599435028,200.9
Rapeseed & Mustard,Sikkim,2021,3115.00,2735.00,878.00,5050,8.748785311,200.9
Rapeseed & Mustard,Tamil Nadu,2021,420.00,98.00,233.00,5050,3.979717514,200.9
Rapeseed & Mustard,Telangana,2021,2000.00,1844.00,922.00,5050,3.251638418,200.9
Rapeseed & Mustard,Tripura,2021,6852.00,5763.00,841.00,5050,5.003474576,200.9
Rapeseed & Mustard,Uttar Pradesh,2021,755000.00,1032840.00,1368.00,5050,2.842146893,200.9
Rapeseed & Mustard,Uttarakhand,2021,19000.00,15827.00,833.00,5050,4.910141243,200.9
Rapeseed & Mustard,West Bengal,2021,610340.00,743394.00,1218.00,5050,5.570225989,200.9
Rice,Andaman And Nicobar Islands,2021,6256.43,13344.97,2133.00,1940,0,152.1333333
Rice,Andhra Pradesh,2021,2289000.00,7763633.00,3392.00,1940,3.265112994,152.1333333
Rice,Arunachal Pradesh,2021,136484.00,252377.97,1849.00,1940,5.32799435,152.1333333
Rice,Assam,2021,2353255.00,4382142.15,1862.00,1940,4.238022599,152.1333333
Rice,Bihar,2021,3091361.00,7716946.10,2496.00,1940,4.190960452,152.1333333
Rice,Chandigarh,2021,82.00,451.00,5500.00,1940,2.313559322,152.1333333
Rice,Chhattisgarh,2021,3759000.00,8021706.00,2134.00,1940,3.365649718,152.1333333
Rice,Dadra And Nagar Haveli,2021,15853.00,32799.86,2069.00,1940,8.141299435,152.1333333
Rice,Delhi,2021,6123.00,19018.04,3106.00,1940,2.746836158,152.1333333
Rice,Goa,2021,32347.00,90418.79,2795.00,1940,10.84036723,152.1333333
Rice,Gujarat,2021,892030.00,2101055.12,2355.00,1940,2.123700565,152.1333333
Rice,Haryana,2021,1281000.00,4618005.00,3605.00,1940,1.925847458,152.1333333
Rice,Himachal Pradesh,2021,66167.00,167534.84,2532.00,1940,2.939745763,152.1333333
Rice,Jammu And Kashmir,2021,268775.00,492933.35,1834.00,1940,2.869689266,152.1333333
Rice,Jharkhand,2021,1445000.00,2930460.00,2028.00,1940,4.018644068,152.1333333
Rice,Karnataka,2021,1397900.00,4318379.10,3089.00,1940,3.780367232,152.1333333
Rice,Kerala,2021,195735.00,486984.79,2488.00,1940,8.892090395,152.1333333
Rice,Madhya Pradesh,2021,2109000.00,4814847.00,2283.00,1940,2.906949153,152.1333333
Rice,Maharashtra,2021,1651750.00,3598081.10,2178.00,1940,3.662909605,152.1333333
Rice,Manipur,2021,200030.00,567370.24,2836.00,1940,2.583022599,152.1333333
Rice,Meghalaya,2021,108491.00,297324.59,2741.00,1940,9.194463277,152.1333333
Rice,Mizoram,2021,34907.00,60870.30,1744.00,1940,4.826723164,152.1333333
Rice,Nagaland,2021,122079.00,150665.16,1234.00,1940,2.868022599,152.1333333
Rice,Odisha,2021,3947750.00,9290759.09,2353.00,1940,3.970112994,152.1333333
Rice,Puducherry,2021,19132.00,57088.32,2984.00,1940,6.05759887,152.1333333
Rice,Punjab,2021,2969000.00,12885460.00,4340.00,1940,1.77740113,152.1333333
Rice,Rajasthan,2021,196459.00,478574.12,2436.00,1940,1.599435028,152.1333333
Rice,Sikkim,2021,8612.00,16026.93,1861.00,1940,8.748785311,152.1333333
Rice,Tamil Nadu,2021,2217270.00,7906618.61,3566.00,1940,3.979717514,152.1333333
Rice,Telangana,2021,3654900.00,12409574.80,3395.00,1940,3.251638418,152.1333333
Rice,Tripura,2021,255740.00,810945.50,3171.00,1940,5.003474576,152.1333333
Rice,Uttar Pradesh,2021,5703000.00,15271536.00,2678.00,1940,2.842146893,152.1333333
Rice,Uttarakhand,2021,257000.00,716048.00,2786.00,1940,4.910141243,152.1333333
Rice,West Bengal,2021,5585753.00,16728662.10,2995.00,1940,5.570225989,152.1333333
Safflower,Andhra Pradesh,2021,1000.00,664.00,664.00,5441,3.265112994,184.1916667
Safflower,Bihar,2021,86.00,70.00,814.00,5441,4.190960452,184.1916667
Safflower,Chhattisgarh,2021,90.00,30.00,333.00,5441,3.365649718,184.1916667
Safflower,Jharkhand,2021,468.00,168.00,359.00,5441,4.018644068,184.1916667
Safflower,Karnataka,2021,42000.00,33978.00,809.00,5441,3.780367232,184.1916667
Safflower,Maharashtra,2021,27570.00,19051.00,691.00,5441,3.662909605,184.1916667
Safflower,Odisha,2021,630.00,390.00,619.00,5441,3.970112994,184.1916667
Safflower,Telangana,2021,7000.00,6909.00,987.00,5441,3.251638418,184.1916667
Safflower,West Bengal,2021,15.00,9.00,600.00,5441,5.570225989,184.1916667
Sannhemp,Bihar,2021,727.00,3259.38,807.00,5917,4.190960452,171.2583333
Sannhemp,Chhattisgarh,2021,640.00,2215.11,623.00,5917,3.365649718,171.2583333
Sannhemp,Jammu And Kashmir,2021,8.00,47.78,1075.00,5819,2.869689266,171.2583333
Sannhemp,Karnataka,2021,1600.00,3262.22,367.00,5917,3.780367232,171.2583333
Sannhemp,Odisha,2021,7150.00,36504.72,919.00,5915,3.970112994,171.2583333
Sannhemp,Rajasthan,2021,187.00,994.22,957.00,5915,1.599435028,171.2583333
Sannhemp,Uttar Pradesh,2021,2000.00,3033.33,273.00,5917,2.842146893,171.2583333
Sannhemp,West Bengal,2021,297.00,1250.70,758.00,5917,5.570225989,171.2583333
Sesamum,Andaman And Nicobar Islands,2021,1.50,1.00,667.00,7307,0,179.9
Sesamum,Andhra Pradesh,2021,40000.00,8600.00,215.00,7307,3.265112994,179.9
Sesamum,Arunachal Pradesh,2021,2190.00,1980.00,904.00,7307,5.32799435,179.9
Sesamum,Assam,2021,11637.00,7878.00,677.00,7307,4.238022599,179.9
Sesamum,Bihar,2021,1089.00,952.00,874.00,7307,4.190960452,179.9
Sesamum,Chhattisgarh,2021,15120.00,7227.00,478.00,7307,3.365649718,179.9
Sesamum,Gujarat,2021,208630.00,133732.00,641.00,7307,2.123700565,179.9
Sesamum,Haryana,2021,3340.00,1496.00,448.00,7307,1.925847458,179.9
Sesamum,Himachal Pradesh,2021,1746.00,515.00,295.00,7307,2.939745763,179.9
Sesamum,Jammu And Kashmir,2021,2516.00,1011.00,402.00,7307,2.869689266,179.9
Sesamum,Jharkhand,2021,5182.00,2166.00,418.00,7307,4.018644068,179.9
Sesamum,Karnataka,2021,31000.00,23374.00,754.00,7307,3.780367232,179.9
Sesamum,Kerala,2021,585.00,158.00,270.00,7307,8.892090395,179.9
Sesamum,Madhya Pradesh,2021,291000.00,122220.00,420.00,7307,2.906949153,179.9
Sesamum,Maharashtra,2021,27790.00,5808.00,209.00,7307,3.662909605,179.9
Sesamum,Meghalaya,2021,2390.00,2249.00,941.00,7307,9.194463277,179.9
Sesamum,Mizoram,2021,938.00,570.00,608.00,7307,4.826723164,179.9
Sesamum,Nagaland,2021,1278.00,633.00,495.00,7307,2.868022599,179.9
Sesamum,Odisha,2021,24380.00,6046.00,248.00,7307,3.970112994,179.9
Sesamum,Puducherry,2021,534.00,488.00,914.00,7307,6.05759887,179.9
Sesamum,Punjab,2021,2900.00,1047.00,361.00,7307,1.77740113,179.9
Sesamum,Rajasthan,2021,290157.00,76892.00,265.00,7307,1.599435028,179.9
Sesamum,Tamil Nadu,2021,47470.00,27960.00,589.00,7307,3.979717514,179.9
Sesamum,Telangana,2021,34000.00,26044.00,766.00,7307,3.251638418,179.9
Sesamum,Tripura,2021,6363.00,4079.00,641.00,7307,5.003474576,179.9
Sesamum,Uttar Pradesh,2021,313000.00,70738.00,226.00,7307,2.842146893,179.9
Sesamum,Uttarakhand,2021,2000.00,528.00,264.00,7307,4.910141243,179.9
Sesamum,West Bengal,2021,259808.00,254352.00,979.00,7307,5.570225989,179.9
Small Millets,Andhra Pradesh,2021,14000.00,13006.00,929.00,5915,3.265112994,171.2583333
Small Millets,Assam,2021,4820.00,3200.48,664.00,5917,4.238022599,171.2583333
Small Millets,Bihar,2021,1699.00,1282.75,755.00,5917,4.190960452,171.2583333
Small Millets,Chhattisgarh,2021,52350.00,26230.00,501.00,5917,3.365649718,171.2583333
Small Millets,Gujarat,2021,11510.00,22881.88,1988.00,1933,2.123700565,171.2583333
Small Millets,Himachal Pradesh,2021,1673.00,1137.64,680.00,5917,2.939745763,171.2583333
Small Millets,Jammu And Kashmir,2021,2123.00,857.69,404.00,5917,2.869689266,171.2583333
Small Millets,Karnataka,2021,29000.00,23867.00,823.00,5915,3.780367232,171.2583333
Small Millets,Kerala,2021,34.00,41.00,1206.00,5924,8.892090395,171.2583333
Small Millets,Madhya Pradesh,2021,89000.00,76540.00,860.00,5915,2.906949153,171.2583333
Small Millets,Maharashtra,2021,60260.00,26032.32,432.00,5917,3.662909605,171.2583333
Small Millets,Meghalaya,2021,2923.00,2806.08,960.00,5915,9.194463277,171.2583333
Small Millets,Nagaland,2021,7411.00,7262.78,980.00,5928,2.868022599,171.2583333
Small Millets,Odisha,2021,38370.00,19607.07,511.00,5917,3.970112994,171.2583333
Small Millets,Rajasthan,2021,6703.00,4243.00,633.00,5917,1.599435028,171.2583333
Small Millets,Tamil Nadu,2021,22980.00,29828.04,1298.00,5918,3.979717514,171.2583333
Small Millets,Telangana,2021,0.00,0.00,0.00,5917,3.251638418,171.2583333
Small Millets,Tripura,2021,1637.00,1329.24,812.00,5915,5.003474576,171.2583333
Small Millets,Uttar Pradesh,2021,7000.00,4634.00,662.00,5917,2.842146893,171.2583333
Small Millets,Uttarakhand,2021,47000.00,73273.00,1559.00,5002,4.910141243,171.2583333
Small Millets,West Bengal,2021,1288.00,1345.96,1045.00,5876,5.570225989,171.2583333
Soybean,Andhra Pradesh,2021,3000.00,4641.00,1547.00,3950,3.265112994,260.1333333
Soybean,Arunachal Pradesh,2021,3289.00,4713.00,1433.00,3950,5.32799435,260.1333333
Soybean,Bihar,2021,23434.00,17482.00,746.00,3950,4.190960452,260.1333333
Soybean,Chhattisgarh,2021,49720.00,31572.00,635.00,3950,3.365649718,260.1333333
Soybean,Gujarat,2021,224470.00,365886.00,1630.00,3950,2.123700565,260.1333333
Soybean,Himachal Pradesh,2021,399.00,307.00,769.00,3950,2.939745763,260.1333333
Soybean,Jharkhand,2021,608.00,535.00,880.00,3950,4.018644068,260.1333333
Soybean,Karnataka,2021,381000.00,437007.00,1147.00,3950,3.780367232,260.1333333
Soybean,Madhya Pradesh,2021,5513000.00,5391714.00,978.00,3950,2.906949153,260.1333333
Soybean,Maharashtra,2021,4595030.00,5500251.00,1197.00,3950,3.662909605,260.1333333
Soybean,Manipur,2021,4900.00,3288.00,671.00,3950,2.583022599,260.1333333
Soybean,Meghalaya,2021,1888.00,3629.00,1922.00,3950,9.194463277,260.1333333
Soybean,Mizoram,2021,1426.00,2183.00,1531.00,3950,4.826723164,260.1333333
Soybean,Nagaland,2021,7042.00,8324.00,1182.00,3950,2.868022599,260.1333333
Soybean,Rajasthan,2021,1155195.00,925311.00,801.00,3950,1.599435028,260.1333333
Soybean,Sikkim,2021,2942.00,2871.00,976.00,3950,8.748785311,260.1333333
Soybean,Telangana,2021,155000.00,268305.00,1731.00,3950,3.251638418,260.1333333
Soybean,Uttar Pradesh,2021,17000.00,8857.00,521.00,3950,2.842146893,260.1333333
Soybean,Uttarakhand,2021,7000.00,9660.00,1380.00,3950,4.910141243,260.1333333
Soybean,West Bengal,2021,233.00,186.00,798.00,3950,5.570225989,260.1333333
Sugarcane,Andaman And Nicobar Islands,2021,144.94,2905.00,20043.00,290,0,196.3083333
Sugarcane,Andhra Pradesh,2021,47000.00,3645414.00,77562.00,290,3.265112994,196.3083333
Sugarcane,Arunachal Pradesh,2021,2148.00,46289.00,21550.00,290,5.32799435,196.3083333
Sugarcane,Assam,2021,29768.00,1160029.00,38969.00,290,4.238022599,196.3083333
Sugarcane,Bihar,2021,211164.00,12025579.00,56949.00,290,4.190960452,196.3083333
Sugarcane,Chhattisgarh,2021,34940.00,1958038.00,56040.00,290,3.365649718,196.3083333
Sugarcane,Goa,2021,534.00,35336.00,66172.00,290,10.84036723,196.3083333
Sugarcane,Gujarat,2021,222960.00,17459106.00,78306.00,290,2.123700565,196.3083333
Sugarcane,Haryana,2021,107700.00,8822569.00,81918.00,290,1.925847458,196.3083333
Sugarcane,Himachal Pradesh,2021,1491.00,22648.00,15190.00,290,2.939745763,196.3083333
Sugarcane,Jammu And Kashmir,2021,0.00,0.00,0.00,290,2.869689266,196.3083333
Sugarcane,Karnataka,2021,637000.00,61152000.00,96000.00,290,3.780367232,196.3083333
Sugarcane,Kerala,2021,915.00,10432.00,11401.00,290,8.892090395,196.3083333
Sugarcane,Madhya Pradesh,2021,93000.00,5379120.00,57840.00,290,2.906949153,196.3083333
Sugarcane,Maharashtra,2021,1261700.00,116076400.00,92000.00,290,3.662909605,196.3083333
Sugarcane,Manipur,2021,4940.00,279411.00,56561.00,290,2.583022599,196.3083333
Sugarcane,Meghalaya,2021,132.00,396.00,3000.00,290,9.194463277,196.3083333
Sugarcane,Mizoram,2021,1287.00,36948.00,28709.00,290,4.826723164,196.3083333
Sugarcane,Nagaland,2021,3645.00,104593.00,28695.00,290,2.868022599,196.3083333
Sugarcane,Odisha,2021,7050.00,397606.00,56398.00,290,3.970112994,196.3083333
Sugarcane,Puducherry,2021,0.00,0.00,0.00,290,6.05759887,196.3083333
Sugarcane,Punjab,2021,86800.00,7130880.00,82153.00,290,1.77740113,196.3083333
Sugarcane,Rajasthan,2021,4238.00,321431.00,75845.00,290,1.599435028,196.3083333
Sugarcane,Tamil Nadu,2021,147990.00,16166428.00,109240.00,290,3.979717514,196.3083333
Sugarcane,Telangana,2021,28000.00,2864568.00,102306.00,290,3.251638418,196.3083333
Sugarcane,Tripura,2021,880.00,48414.00,55016.00,290,5.003474576,196.3083333
Sugarcane,Uttar Pradesh,2021,2177000.00,179167100.00,82300.00,290,2.842146893,196.3083333
Sugarcane,Uttarakhand,2021,44000.00,3520000.00,80000.00,290,4.910141243,196.3083333
Sugarcane,West Bengal,2021,18981.00,1591253.00,83834.00,290,5.570225989,196.3083333
Sunflower,Andhra Pradesh,2021,20000.00,12105.00,605.00,6015,3.265112994,168.1333333
Sunflower,Arunachal Pradesh,2021,665.00,555.00,835.00,6015,5.32799435,168.1333333
Sunflower,Bihar,2021,6359.00,9042.00,1422.00,6015,4.190960452,168.1333333
Sunflower,Chhattisgarh,2021,30.00,16.00,533.00,6015,3.365649718,168.1333333
Sunflower,Gujarat,2021,0.00,0.00,0.00,6015,2.123700565,168.1333333
Sunflower,Haryana,2021,13020.00,18137.00,1393.00,6015,1.925847458,168.1333333
Sunflower,Jharkhand,2021,427.00,239.00,560.00,6015,4.018644068,168.1333333
Sunflower,Karnataka,2021,162000.00,136290.00,841.00,6015,3.780367232,168.1333333
Sunflower,Kerala,2021,4.00,1.00,250.00,6015,8.892090395,168.1333333
Sunflower,Maharashtra,2021,19950.00,11766.00,590.00,6015,3.662909605,168.1333333
Sunflower,Nagaland,2021,110.00,124.00,1127.00,6015,2.868022599,168.1333333
Sunflower,Odisha,2021,15340.00,19094.00,1245.00,6015,3.970112994,168.1333333
Sunflower,Punjab,2021,1300.00,2184.00,1680.00,6015,1.77740113,168.1333333
Sunflower,Tamil Nadu,2021,5580.00,5472.00,981.00,6015,3.979717514,168.1333333
Sunflower,Telangana,2021,18000.00,24480.00,1360.00,6015,3.251638418,168.1333333
Sunflower,Uttar Pradesh,2021,4000.00,5368.00,1342.00,6015,2.842146893,168.1333333
Sunflower,West Bengal,2021,4357.00,5307.00,1218.00,6015,5.570225989,168.1333333
Tobacco,Andhra Pradesh,2021,57000.00,132297.00,2321.00,2053,3.265112994,113.6
Tobacco,Assam,2021,96.00,56.16,585.00,5766,4.238022599,113.6
Tobacco,Bihar,2021,10282.00,18086.04,1759.00,2092,4.190960452,113.6
Tobacco,Chhattisgarh,2021,40.00,23.00,575.00,5766,3.365649718,113.6
Tobacco,Gujarat,2021,191640.00,452078.76,2359.00,1995,2.123700565,113.6
Tobacco,Karnataka,2021,80000.00,63440.00,793.00,5766,3.780367232,113.6
Tobacco,Kerala,2021,3.00,5.00,1667.00,4488,8.892090395,113.6
Tobacco,Maharashtra,2021,530.00,797.65,1505.00,5680,3.662909605,113.6
Tobacco,Meghalaya,2021,807.00,806.19,999.00,5729,9.194463277,113.6
Tobacco,Mizoram,2021,274.00,150.97,551.00,5766,4.826723164,113.6
Tobacco,Odisha,2021,50.00,30.00,600.00,5766,3.970112994,113.6
Tobacco,Tamil Nadu,2021,1540.00,2348.50,1525.00,5459,3.979717514,113.6
Tobacco,Telangana,2021,3000.00,6648.00,2216.00,2053,3.251638418,113.6
Tobacco,Uttar Pradesh,2021,28000.00,123032.00,4394.00,2053,2.842146893,113.6
Tobacco,West Bengal,2021,12560.00,17458.40,1390.00,5715,5.570225989,113.6
Tur,Andaman And Nicobar Islands,2021,2.10,0.21,100.00,6300,0,176.3416667
Tur,Andhra Pradesh,2021,251000.00,68021.00,271.00,6300,3.265112994,176.3416667
Tur,Arunachal Pradesh,2021,854.00,750.67,879.00,6300,5.32799435,176.3416667
Tur,Assam,2021,5810.00,4984.98,858.00,6300,4.238022599,176.3416667
Tur,Bihar,2021,12987.00,20870.11,1607.00,6300,4.190960452,176.3416667
Tur,Chhattisgarh,2021,43440.00,24934.56,574.00,6300,3.365649718,176.3416667
Tur,Gujarat,2021,250840.00,291225.24,1161.00,6300,2.123700565,176.3416667
Tur,Haryana,2021,1150.00,1358.15,1181.00,6300,1.925847458,176.3416667
Tur,Himachal Pradesh,2021,15.00,13.13,875.00,6300,2.939745763,176.3416667
Tur,Jharkhand,2021,253639.00,286358.43,1129.00,6300,4.018644068,176.3416667
Tur,Karnataka,2021,1719000.00,1144854.00,666.00,6300,3.780367232,176.3416667
Tur,Kerala,2021,181.00,299.01,1652.00,6300,8.892090395,176.3416667
Tur,Madhya Pradesh,2021,225000.00,189900.00,844.00,6300,2.906949153,176.3416667
Tur,Maharashtra,2021,1335100.00,1391174.20,1042.00,6300,3.662909605,176.3416667
Tur,Manipur,2021,550.00,540.10,982.00,6300,2.583022599,176.3416667
Tur,Meghalaya,2021,1192.00,1555.56,1305.00,6300,9.194463277,176.3416667
Tur,Mizoram,2021,372.00,380.18,1022.00,6300,4.826723164,176.3416667
Tur,Nagaland,2021,433.00,381.04,880.00,6300,2.868022599,176.3416667
Tur,Odisha,2021,126060.00,130598.16,1036.00,6300,3.970112994,176.3416667
Tur,Punjab,2021,1400.00,1419.60,1014.00,6300,1.77740113,176.3416667
Tur,Rajasthan,2021,7362.00,6736.23,915.00,6300,1.599435028,176.3416667
Tur,Tamil Nadu,2021,48310.00,45218.16,936.00,6300,3.979717514,176.3416667
Tur,Telangana,2021,314000.00,241466.00,769.00,6300,3.251638418,176.3416667
Tur,Tripura,2021,5274.00,4129.54,783.00,6300,5.003474576,176.3416667
Tur,Uttar Pradesh,2021,290000.00,354670.00,1223.00,6300,2.842146893,176.3416667
Tur,Uttarakhand,2021,3000.00,3198.00,1066.00,6300,4.910141243,176.3416667
Tur,West Bengal,2021,3286.00,5155.73,1569.00,6300,5.570225989,176.3416667
