Crop,State,Crop_Year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,WPI
Rice,Assam,2021,2353255,4382142.15,1862,1940,4.238022599,152.1333333
Rice,Bihar,2021,3091361,7716946.1,2496,1940,4.190960452,152.1333333
Rice,Chandigarh,2021,82,451,5500,1940,2.313559322,152.1333333
Rice,Chhattisgarh,2021,3759000,8021706,2134,1940,3.365649718,152.1333333
Rice,Dadra And Nagar Haveli,2021,15853,32799.86,2069,1940,8.141299435,152.1333333
Rice,Delhi,2021,6123,19018.04,3106,1940,2.746836158,152.1333333
Rice,Goa,2021,32347,90418.79,2795,1940,10.84036723,152.1333333
Rice,Gujarat,2021,892030,2101055.12,2355,1940,2.123700565,152.1333333
Rice,Haryana,2021,1281000,4618005,3605,1940,1.925847458,152.1333333
Rice,Himachal Pradesh,2021,66167,167534.84,2532,1940,2.939745763,152.1333333
Rice,Jammu And Kashmir,2021,268775,492933.35,1834,1940,2.869689266,152.1333333
Rice,Jharkhand,2021,1445000,2930460,2028,1940,4.018644068,152.1333333
Rice,Karnataka,2021,1397900,4318379.1,3089,1940,3.780367232,152.1333333
Rice,Kerala,2021,195735,486984.79,2488,1940,8.892090395,152.1333333
Rice,Madhya Pradesh,2021,2109000,4814847,2283,1940,2.906949153,152.1333333
Rice,Maharashtra,2021,1651750,3598081.1,2178,1940,3.662909605,152.1333333
Rice,Manipur,2021,200030,567370.24,2836,1940,2.583022599,152.1333333
Rice,Meghalaya,2021,108491,297324.59,2741,1940,9.194463277,152.1333333
Rice,Mizoram,2021,34907,60870.3,1744,1940,4.826723164,152.1333333
Rice,Nagaland,2021,122079,150665.16,1234,1940,2.868022599,152.1333333
Rice,Odisha,2021,3947750,9290759.09,2353,1940,3.970112994,152.1333333
Rice,Puducherry,2021,19132,57088.32,2984,1940,6.05759887,152.1333333
Rice,Punjab,2021,2969000,12885460,4340,1940,1.77740113,152.1333333
Rice,Rajasthan,2021,196459,478574.12,2436,1940,1.599435028,152.1333333
Rice,Sikkim,2021,8612,16026.93,1861,1940,8.748785311,152.1333333
Rice,Tamil Nadu,2021,2217270,7906618.61,3566,1940,3.979717514,152.1333333
Rice,Telangana,2021,3654900,12409574.8,3395,1940,3.251638418,152.1333333
Rice,Tripura,2021,255740,810945.5,3171,1940,5.003474576,152.1333333
Rice,Uttar Pradesh,2021,5703000,15271536,2678,1940,2.842146893,152.1333333
Rice,Uttarakhand,2021,257000,716048,2786,1940,4.910141243,152.1333333
Rice,West Bengal,2021,5585753,16728662.1,2995,1940,5.570225989,152.1333333
Safflower,Andhra Pradesh,2021,1000,664,664,5441,3.265112994,184.1916667
Safflower,Bihar,2021,86,70,814,5441,4.190960452,184.1916667
Safflower,Chhattisgarh,2021,90,30,333,5441,3.365649718,184.1916667
Safflower,Jharkhand,2021,468,168,359,5441,4.018644068,184.1916667
Safflower,Karnataka,2021,42000,33978,809,5441,3.780367232,184.1916667
Safflower,Maharashtra,2021,27570,19051,691,5441,3.662909605,184.1916667
Safflower,Odisha,2021,630,390,619,5441,3.970112994,184.1916667
Safflower,Telangana,2021,7000,6909,987,5441,3.251638418,184.1916667
Safflower,West Bengal,2021,15,9,600,5441,5.570225989,184.1916667
Sannhemp,Bihar,2021,727,3259.38,807,5916.55,4.190960452,171.2583333
Sannhemp,Chhattisgarh,2021,640,2215.11,623,5916.55,3.365649718,171.2583333
Sannhemp,Jammu And Kashmir,2021,8,47.78,1075,5818.9,2.869689266,171.2583333
Sannhemp,Karnataka,2021,1600,3262.22,367,5916.55,3.780367232,171.2583333
Sannhemp,Odisha,2021,7150,36504.72,919,5914.9,3.970112994,171.2583333
Sannhemp,Rajasthan,2021,187,994.22,957,5914.9,1.599435028,171.2583333
Sannhemp,Uttar Pradesh,2021,2000,3033.33,273,5916.55,2.842146893,171.2583333
Sannhemp,West Bengal,2021,297,1250.7,758,5916.55,5.570225989,171.2583333
Sesamum,Andaman And Nicobar Islands,2021,1.5,1,667,7307,0,179.9
Sesamum,Andhra Pradesh,2021,40000,8600,215,7307,3.265112994,179.9
Sesamum,Arunachal Pradesh,2021,2190,1980,904,7307,5.32799435,179.9
Sesamum,Assam,2021,11637,7878,677,7307,4.238022599,179.9
Sesamum,Bihar,2021,1089,952,874,7307,4.190960452,179.9
Sesamum,Chhattisgarh,2021,15120,7227,478,7307,3.365649718,179.9
Sesamum,Gujarat,2021,208630,133732,641,7307,2.123700565,179.9
Sesamum,Haryana,2021,3340,1496,448,7307,1.925847458,179.9
Sesamum,Himachal Pradesh,2021,1746,515,295,7307,2.939745763,179.9
Sesamum,Jammu And Kashmir,2021,2516,1011,402,7307,2.869689266,179.9
Sesamum,Jharkhand,2021,5182,2166,418,7307,4.018644068,179.9
Sesamum,Karnataka,2021,31000,23374,754,7307,3.780367232,179.9
Sesamum,Kerala,2021,585,158,270,7307,8.892090395,179.9
Sesamum,Madhya Pradesh,2021,291000,122220,420,7307,2.906949153,179.9
Sesamum,Maharashtra,2021,27790,5808,209,7307,3.662909605,179.9
Sesamum,Meghalaya,2021,2390,2249,941,7307,9.194463277,179.9
Sesamum,Mizoram,2021,938,570,608,7307,4.826723164,179.9
Sesamum,Nagaland,2021,1278,633,495,7307,2.868022599,179.9
Sesamum,Odisha,2021,24380,6046,248,7307,3.970112994,179.9
Sesamum,Puducherry,2021,534,488,914,7307,6.05759887,179.9
Sesamum,Punjab,2021,2900,1047,361,7307,1.77740113,179.9
Sesamum,Rajasthan,2021,290157,76892,265,7307,1.599435028,179.9
Sesamum,Tamil Nadu,2021,47470,27960,589,7307,3.979717514,179.9
Sesamum,Telangana,2021,34000,26044,766,7307,3.251638418,179.9
Sesamum,Tripura,2021,6363,4079,641,7307,5.003474576,179.9
Sesamum,Uttar Pradesh,2021,313000,70738,226,7307,2.842146893,179.9
Sesamum,Uttarakhand,2021,2000,528,264,7307,4.910141243,179.9
Sesamum,West Bengal,2021,259808,254352,979,7307,5.570225989,179.9
Small Millets,Andhra Pradesh,2021,14000,13006,929,5914.9,3.265112994,171.2583333
Small Millets,Assam,2021,4820,3200.48,664,5916.55,4.238022599,171.2583333
Small Millets,Bihar,2021,1699,1282.75,755,5916.55,4.190960452,171.2583333
Small Millets,Chhattisgarh,2021,52350,26230,501,5916.55,3.365649718,171.2583333
Small Millets,Gujarat,2021,11510,22881.88,1988,1933.46,2.123700565,171.2583333
Small Millets,Himachal Pradesh,2021,1673,1137.64,680,5916.55,2.939745763,171.2583333
Small Millets,Jammu And Kashmir,2021,2123,857.69,404,5916.55,2.869689266,171.2583333
Small Millets,Karnataka,2021,29000,23867,823,5914.9,3.780367232,171.2583333
Small Millets,Kerala,2021,34,41,1206,5924.15,8.892090395,171.2583333
Small Millets,Madhya Pradesh,2021,89000,76540,860,5914.9,2.906949153,171.2583333
Small Millets,Maharashtra,2021,60260,26032.32,432,5916.55,3.662909605,171.2583333
Small Millets,Meghalaya,2021,2923,2806.08,960,5914.9,9.194463277,171.2583333
Small Millets,Nagaland,2021,7411,7262.78,980,5927.82,2.868022599,171.2583333
Small Millets,Odisha,2021,38370,19607.07,511,5916.55,3.970112994,171.2583333
Small Millets,Rajasthan,2021,6703,4243,633,5916.55,1.599435028,171.2583333
Small Millets,Tamil Nadu,2021,22980,29828.04,1298,5918.15,3.979717514,171.2583333
Small Millets,Telangana,2021,0,0,0,5916.55,3.251638418,171.2583333
Small Millets,Tripura,2021,1637,1329.24,812,5914.9,5.003474576,171.2583333
Small Millets,Uttar Pradesh,2021,7000,4634,662,5916.55,2.842146893,171.2583333
Small Millets,Uttarakhand,2021,47000,73273,1559,5002.23,4.910141243,171.2583333
Small Millets,West Bengal,2021,1288,1345.96,1045,5876,5.570225989,171.2583333
Soybean,Andhra Pradesh,2021,3000,4641,1547,3950,3.265112994,260.1333333
Soybean,Arunachal Pradesh,2021,3289,4713,1433,3950,5.32799435,260.1333333
Soybean,Bihar,2021,23434,17482,746,3950,4.190960452,260.1333333
Soybean,Chhattisgarh,2021,49720,31572,635,3950,3.365649718,260.1333333
Soybean,Gujarat,2021,224470,365886,1630,3950,2.123700565,260.1333333
Soybean,Himachal Pradesh,2021,399,307,769,3950,2.939745763,260.1333333
Soybean,Jharkhand,2021,608,535,880,3950,4.018644068,260.1333333
Soybean,Karnataka,2021,381000,437007,1147,3950,3.780367232,260.1333333
Soybean,Madhya Pradesh,2021,5513000,5391714,978,3950,2.906949153,260.1333333
Soybean,Maharashtra,2021,4595030,5500251,1197,3950,3.662909605,260.1333333
Soybean,Manipur,2021,4900,3288,671,3950,2.583022599,260.1333333
Soybean,Meghalaya,2021,1888,3629,1922,3950,9.194463277,260.1333333
Soybean,Mizoram,2021,1426,2183,1531,3950,4.826723164,260.1333333
Soybean,Nagaland,2021,7042,8324,1182,3950,2.868022599,260.1333333
Soybean,Rajasthan,2021,1155195,925311,801,3950,1.599435028,260.1333333
Soybean,Sikkim,2021,2942,2871,976,3950,8.748785311,260.1333333
Soybean,Telangana,2021,155000,268305,1731,3950,3.251638418,260.1333333
Soybean,Uttar Pradesh,2021,17000,8857,521,3950,2.842146893,260.1333333
Soybean,Uttarakhand,2021,7000,9660,1380,3950,4.910141243,260.1333333
Soybean,West Bengal,2021,233,186,798,3950,5.570225989,260.1333333
Sugarcane,Andaman And Nicobar Islands,2021,144.94,2905,20043,290,0,196.3083333
Sugarcane,Andhra Pradesh,2021,47000,3645414,77562,290,3.265112994,196.3083333
Sugarcane,Arunachal Pradesh,2021,2148,46289,21550,290,5.32799435,196.3083333
Sugarcane,Assam,2021,29768,1160029,38969,290,4.238022599,196.3083333
Sugarcane,Bihar,2021,211164,12025579,56949,290,4.190960452,196.3083333
Sugarcane,Chhattisgarh,2021,34940,1958038,56040,290,3.365649718,196.3083333
Sugarcane,Goa,2021,534,35336,66172,290,10.84036723,196.3083333
Sugarcane,Gujarat,2021,222960,17459106,78306,290,2.123700565,196.3083333
Sugarcane,Haryana,2021,107700,8822569,81918,290,1.925847458,196.3083333
Sugarcane,Himachal Pradesh,2021,1491,22648,15190,290,2.939745763,196.3083333
Sugarcane,Jammu And Kashmir,2021,0,0,0,290,2.869689266,196.3083333
Sugarcane,Karnataka,2021,637000,61152000,96000,290,3.780367232,196.3083333
Sugarcane,Kerala,2021,915,10432,11401,290,8.892090395,196.3083333
Sugarcane,Madhya Pradesh,2021,93000,5379120,57840,290,2.906949153,196.3083333
Sugarcane,Maharashtra,2021,1261700,116076400,92000,290,3.662909605,196.3083333
Sugarcane,Manipur,2021,4940,279411,56561,290,2.583022599,196.3083333
Sugarcane,Meghalaya,2021,132,396,3000,290,9.194463277,196.3083333
Sugarcane,Mizoram,2021,1287,36948,28709,290,4.826723164,196.3083333
Sugarcane,Nagaland,2021,3645,104593,28695,290,2.868022599,196.3083333
Sugarcane,Odisha,2021,7050,397606,56398,290,3.970112994,196.3083333
Sugarcane,Puducherry,2021,0,0,0,290,6.05759887,196.3083333
Sugarcane,Punjab,2021,86800,7130880,82153,290,1.77740113,196.3083333
Sugarcane,Rajasthan,2021,4238,321431,75845,290,1.599435028,196.3083333
Sugarcane,Tamil Nadu,2021,147990,16166428,109240,290,3.979717514,196.3083333
Sugarcane,Telangana,2021,28000,2864568,102306,290,3.251638418,196.3083333
Sugarcane,Tripura,2021,880,48414,55016,290,5.003474576,196.3083333
Sugarcane,Uttar Pradesh,2021,2177000,179167100,82300,290,2.842146893,196.3083333
Sugarcane,Uttarakhand,2021,44000,3520000,80000,290,4.910141243,196.3083333
Sugarcane,West Bengal,2021,18981,1591253,83834,290,5.570225989,196.3083333
Sunflower,Andhra Pradesh,2021,20000,12105,605,6015,3.265112994,168.1333333
Sunflower,Arunachal Pradesh,2021,665,555,835,6015,5.32799435,168.1333333
Sunflower,Bihar,2021,6359,9042,1422,6015,4.190960452,168.1333333
Sunflower,Chhattisgarh,2021,30,16,533,6015,3.365649718,168.1333333
Sunflower,Gujarat,2021,0,0,0,6015,2.123700565,168.1333333
Sunflower,Haryana,2021,13020,18137,1393,6015,1.925847458,168.1333333
Sunflower,Jharkhand,2021,427,239,560,6015,4.018644068,168.1333333
Sunflower,Karnataka,2021,162000,136290,841,6015,3.780367232,168.1333333
Sunflower,Kerala,2021,4,1,250,6015,8.892090395,168.1333333
Sunflower,Maharashtra,2021,19950,11766,590,6015,3.662909605,168.1333333
Sunflower,Nagaland,2021,110,124,1127,6015,2.868022599,168.1333333
Sunflower,Odisha,2021,15340,19094,1245,6015,3.970112994,168.1333333
Sunflower,Punjab,2021,1300,2184,1680,6015,1.77740113,168.1333333
Sunflower,Tamil Nadu,2021,5580,5472,981,6015,3.979717514,168.1333333
Sunflower,Telangana,2021,18000,24480,1360,6015,3.251638418,168.1333333
Sunflower,Uttar Pradesh,2021,4000,5368,1342,6015,2.842146893,168.1333333
Sunflower,West Bengal,2021,4357,5307,1218,6015,5.570225989,168.1333333
Tobacco,Andhra Pradesh,2021,57000,132297,2321,2053,3.265112994,113.6
Tobacco,Assam,2021,96,56.16,585,5765.65,4.238022599,113.6
Tobacco,Bihar,2021,10282,18086.04,1759,2092.45,4.190960452,113.6
Tobacco,Chhattisgarh,2021,40,23,575,5765.65,3.365649718,113.6
Tobacco,Gujarat,2021,191640,452078.76,2359,1994.6,2.123700565,113.6
Tobacco,Karnataka,2021,80000,63440,793,5766.25,3.780367232,113.6
Tobacco,Kerala,2021,3,5,1667,4488.04,8.892090395,113.6
Tobacco,Maharashtra,2021,530,797.65,1505,5680.35,3.662909605,113.6
Tobacco,Meghalaya,2021,807,806.19,999,5728.75,9.194463277,113.6
Tobacco,Mizoram,2021,274,150.97,551,5765.65,4.826723164,113.6
Tobacco,Odisha,2021,50,30,600,5765.65,3.970112994,113.6
Tobacco,Tamil Nadu,2021,1540,2348.5,1525,5458.5,3.979717514,113.6
Tobacco,Telangana,2021,3000,6648,2216,2053,3.251638418,113.6
Tobacco,Uttar Pradesh,2021,28000,123032,4394,2053,2.842146893,113.6
Tobacco,West Bengal,2021,12560,17458.4,1390,5715.4,5.570225989,113.6
Tur,Andaman And Nicobar Islands,2021,2.1,0.21,100,6300,0,176.3416667
Tur,Andhra Pradesh,2021,251000,68021,271,6300,3.265112994,176.3416667
Tur,Arunachal Pradesh,2021,854,750.67,879,6300,5.32799435,176.3416667
Tur,Assam,2021,5810,4984.98,858,6300,4.238022599,176.3416667
Tur,Bihar,2021,12987,20870.11,1607,6300,4.190960452,176.3416667
Tur,Chhattisgarh,2021,43440,24934.56,574,6300,3.365649718,176.3416667
Tur,Gujarat,2021,250840,291225.24,1161,6300,2.123700565,176.3416667
Tur,Haryana,2021,1150,1358.15,1181,6300,1.925847458,176.3416667
Tur,Himachal Pradesh,2021,15,13.13,875,6300,2.939745763,176.3416667
Tur,Jharkhand,2021,253639,286358.43,1129,6300,4.018644068,176.3416667
Tur,Karnataka,2021,1719000,1144854,666,6300,3.780367232,176.3416667
Tur,Kerala,2021,181,299.01,1652,6300,8.892090395,176.3416667
Tur,Madhya Pradesh,2021,225000,189900,844,6300,2.906949153,176.3416667
Tur,Maharashtra,2021,1335100,1391174.2,1042,6300,3.662909605,176.3416667
Tur,Manipur,2021,550,540.1,982,6300,2.583022599,176.3416667
Tur,Meghalaya,2021,1192,1555.56,1305,6300,9.194463277,176.3416667
Tur,Mizoram,2021,372,380.18,1022,6300,4.826723164,176.3416667
Tur,Nagaland,2021,433,381.04,880,6300,2.868022599,176.3416667
Tur,Odisha,2021,126060,130598.16,1036,6300,3.970112994,176.3416667
Tur,Punjab,2021,1400,1419.6,1014,6300,1.77740113,176.3416667
Tur,Rajasthan,2021,7362,6736.23,915,6300,1.599435028,176.3416667
Tur,Tamil Nadu,2021,48310,45218.16,936,6300,3.979717514,176.3416667
Tur,Telangana,2021,314000,241466,769,6300,3.251638418,176.3416667
Tur,Tripura,2021,5274,4129.54,783,6300,5.003474576,176.3416667
Tur,Uttar Pradesh,2021,290000,354670,1223,6300,2.842146893,176.3416667
Tur,Uttarakhand,2021,3000,3198,1066,6300,4.910141243,176.3416667
Tur,West Bengal,2021,3286,5155.73,1569,6300,5.570225989,176.3416667
Urad,Andaman And Nicobar Islands,2021,412.6,165.04,400,6300,0,188.125
Urad,Andhra Pradesh,2021,401000,424683,1059,6300,3.265112994,188.125
Urad,Arunachal Pradesh,2021,2641,2515.28,952,6300,5.32799435,188.125
Urad,Assam,2021,57010,37683.61,661,6300,4.238022599,188.125
Urad,Bihar,2021,6425,5975.25,930,6300,4.190960452,188.125
Urad,Chhattisgarh,2021,70040,25800.46,368,6300,3.365649718,188.125
Urad,Gujarat,2021,180370,130005.51,721,6300,2.123700565,188.125
Urad,Haryana,2021,250,127.25,509,6300,1.925847458,188.125
Urad,Himachal Pradesh,2021,6353,4567.81,719,6300,2.939745763,188.125
Urad,Jammu And Kashmir,2021,0,0,0,6300,2.869689266,188.125
Urad,Jharkhand,2021,133325,120392.48,903,6300,4.018644068,188.125
Urad,Karnataka,2021,79000,39091,495,6300,3.780367232,188.125
Urad,Kerala,2021,398,312.86,786,6300,8.892090395,188.125
Urad,Madhya Pradesh,2021,1617000,884599,547,6300,2.906949153,188.125
Urad,Maharashtra,2021,436310,211196.59,484,6300,3.662909605,188.125
Urad,Manipur,2021,1330,1270.15,955,6300,2.583022599,188.125
Urad,Nagaland,2021,193,180.07,933,6300,2.868022599,188.125
Urad,Odisha,2021,92010,31256.03,340,6300,3.970112994,188.125
Urad,Puducherry,2021,485,347.06,716,6300,6.05759887,188.125
Urad,Punjab,2021,1600,705.6,441,6300,1.77740113,188.125
Urad,Rajasthan,2021,424857,155497.66,366,6300,1.599435028,188.125
Urad,Sikkim,2021,2851,2688.49,943,6300,8.748785311,188.125
Urad,Tamil Nadu,2021,407250,268718.7,660,6300,3.979717514,188.125
Urad,Telangana,2021,58000,65553,1130,6300,3.251638418,188.125
Urad,Tripura,2021,7333,5284.67,721,6300,5.003474576,188.125
Urad,Uttar Pradesh,2021,561000,291504,520,6300,2.842146893,188.125
Urad,Uttarakhand,2021,13000,15639,1203,6300,4.910141243,188.125
Urad,West Bengal,2021,73027,50165.44,687,6300,5.570225989,188.125
Wheat,Arunachal Pradesh,2021,4010,7915.74,1974,2015,5.32799435,155.6583333
Wheat,Assam,2021,9117,11378.02,1248,2015,4.238022599,155.6583333
Wheat,Bihar,2021,2238765,6223766.7,2780,2015,4.190960452,155.6583333
Wheat,Chandigarh,2021,547,2735,5000,2015,2.313559322,155.6583333
Wheat,Chhattisgarh,2021,156120,191871.48,1229,2015,3.365649718,155.6583333
Wheat,Delhi,2021,18090,81405,4500,2015,2.746836158,155.6583333
Wheat,Gujarat,2021,1040000,3333200,3205,2015,2.123700565,155.6583333
Wheat,Haryana,2021,2304700,10447205.1,4533,2015,1.925847458,155.6583333
Wheat,Himachal Pradesh,2021,320219,548855.37,1714,2015,2.939745763,155.6583333
Wheat,Jammu And Kashmir,2021,282775,584213.15,2066,2015,2.869689266,155.6583333
Wheat,Jharkhand,2021,227558,519287.36,2282,2015,4.018644068,155.6583333
Wheat,Karnataka,2021,165000,212355,1287,2015,3.780367232,155.6583333
Wheat,Ladakh,2021,4399.05,7038.48,1600,2015,1.052090395,155.6583333
Wheat,Madhya Pradesh,2021,6500000,22977500,3535,2015,2.906949153,155.6583333
Wheat,Maharashtra,2021,1132250,2144481.5,1894,2015,3.662909605,155.6583333
Wheat,Manipur,2021,2300,5651.1,2457,2015,2.583022599,155.6583333
Wheat,Meghalaya,2021,464,897.84,1935,2015,9.194463277,155.6583333
Wheat,Nagaland,2021,1392,2349.7,1688,2015,2.868022599,155.6583333
Wheat,Odisha,2021,180,306.9,1705,2015,3.970112994,155.6583333
Wheat,Punjab,2021,3525000,14861400,4216,2015,1.77740113,155.6583333
Wheat,Rajasthan,2021,2580000,10095540,3913,2015,1.599435028,155.6583333
Wheat,Sikkim,2021,103,118.97,1155,2015,8.748785311,155.6583333
Wheat,Telangana,2021,7000,14063,2009,2015,3.251638418,155.6583333
Wheat,Tripura,2021,28,57.99,2071,2015,5.003474576,155.6583333
Wheat,Uttar Pradesh,2021,9420000,33949680,3604,2015,2.842146893,155.6583333
Wheat,Uttarakhand,2021,298000,863008,2896,2015,4.910141243,155.6583333
Wheat,West Bengal,2021,220507,655787.82,2974,2015,5.570225989,155.6583333
Bajra,Andhra Pradesh,2022,25000,50675,2027,2350,2.964078212,204.5416667
Bajra,Bihar,2022,2352,2681.28,1140,2350,2.71952514,204.5416667
Bajra,Chhattisgarh,2022,100,45.8,458,2350,3.823044693,204.5416667
Bajra,Dadra And Nagar Haveli,2022,496,753.42,1519,2350,9.703826816,204.5416667
Bajra,Delhi,2022,1430,4647.5,3250,2350,1.867430168,204.5416667
Bajra,Gujarat,2022,501960,1293682.28,2577,2350,2.550865922,204.5416667
Bajra,Haryana,2022,526250,1199850,2280,2350,1.895642458,204.5416667
Bajra,Himachal Pradesh,2022,539,258.72,480,2350,3.112765363,204.5416667
Bajra,Jammu And Kashmir,2022,17583,10321.22,587,2350,3.155307263,204.5416667
Bajra,Jharkhand,2022,235,136.3,580,2350,2.874944134,204.5416667
Bajra,Karnataka,2022,128000,177400,1386,2350,4.063882682,204.5416667
Bajra,Kerala,2022,8,12,1500,2350,7.651480447,204.5416667
Bajra,Madhya Pradesh,2022,363000,943437,2599,2350,3.631955307,204.5416667
Bajra,Maharashtra,2022,433800,467931,1079,2350,3.789162011,204.5416667
Bajra,Nagaland,2022,2051,2206.88,1076,2350,4.46226257,204.5416667
Bajra,Odisha,2022,1800,1139.4,633,2350,3.92849162,204.5416667
Bajra,Puducherry,2022,27,70.01,2593,2350,3.568184358,204.5416667
Bajra,Punjab,2022,600,414,690,2350,1.930083799,204.5416667
Bajra,Rajasthan,2022,4571012,5105015.54,1117,2350,1.772821229,204.5416667
Bajra,Tamil Nadu,2022,45090,113382.71,2515,2350,3.137206704,204.5416667
Bajra,Telangana,2022,4000,11808,2952,2350,3.68896648,204.5416667
Bajra,Uttar Pradesh,2022,947000,2045520,2160,2350,2.327988827,204.5416667
Bajra,West Bengal,2022,70,29.75,425,2350,4.293156425,204.5416667
Barley,Bihar,2022,7206,12444.76,1727,1735,2.71952514,221.95
Barley,Chhattisgarh,2022,810,746.82,922,1735,3.823044693,221.95
Barley,Delhi,2022,50,200,4000,1735,1.867430168,221.95
Barley,Haryana,2022,12870,45984.51,3573,1735,1.895642458,221.95
Barley,Himachal Pradesh,2022,17245,27229.86,1579,1735,3.112765363,221.95
Barley,Jammu And Kashmir,2022,6881,4555.22,662,1735,3.155307263,221.95
Barley,Ladakh,2022,10098.97,17087.46,1692,1735,1.024581006,221.95
Barley,Madhya Pradesh,2022,24000,38712,1613,1735,3.631955307,221.95
Barley,Punjab,2022,5000,19295,3859,1735,1.930083799,221.95
Barley,Rajasthan,2022,330754,1125555.86,3403,1735,1.772821229,221.95
Barley,Sikkim,2022,290,340.75,1175,1735,10.0423743,221.95
Barley,Uttar Pradesh,2022,193000,592124,3068,1735,2.327988827,221.95
Barley,Uttarakhand,2022,20000,28420,1421,1735,4.435363128,221.95
Barley,West Bengal,2022,120,223.2,1860,1735,4.293156425,221.95
Castorseed,Andhra Pradesh,2022,46000,14214,309,5988.9,2.964078212,137.0583333
Castorseed,Assam,2022,1000,495,495,5988.9,6.531815642,137.0583333
Castorseed,Bihar,2022,120,117,975,5928.85,2.71952514,137.0583333
Castorseed,Gujarat,2022,715550,1602832,2240,2066.08,2.550865922,137.0583333
Castorseed,Haryana,2022,560,441.84,789,5988.9,1.895642458,137.0583333
Castorseed,Jharkhand,2022,282,139.87,496,5988.9,2.874944134,137.0583333
Castorseed,Karnataka,2022,3000,1893,631,5988.9,4.063882682,137.0583333
Castorseed,Madhya Pradesh,2022,1000,468,468,5988.9,3.631955307,137.0583333
Castorseed,Maharashtra,2022,3100,1063.3,343,5988.9,3.789162011,137.0583333
Castorseed,Meghalaya,2022,73,64.97,890,5961.85,14.45391061,137.0583333
Castorseed,Nagaland,2022,2,1,500,5988.9,4.46226257,137.0583333
Castorseed,Odisha,2022,7050,4476.75,635,5988.9,3.92849162,137.0583333
Castorseed,Rajasthan,2022,230722,346775.17,1503,5850.25,1.772821229,137.0583333
Castorseed,Tamil Nadu,2022,5820,1815.84,312,5988.9,3.137206704,137.0583333
Castorseed,Telangana,2022,5000,4920,984,5976.42,3.68896648,137.0583333
Cotton,Andhra Pradesh,2022,704000,1540517.65,372,6080,2.964078212,196.2083333
Cotton,Assam,2022,1000,511.76,87,6080,6.531815642,196.2083333
Cotton,Chhattisgarh,2022,5000,9441.18,321,6080,3.823044693,196.2083333
Cotton,Gujarat,2022,2483732,8795333.32,602,6080,2.550865922,196.2083333
Cotton,Haryana,2022,574610,1000497.41,296,6080,1.895642458,196.2083333
Cotton,Karnataka,2022,949000,2567882.35,460,6080,4.063882682,196.2083333
Cotton,Kerala,2022,5,17.32,589,6080,7.651480447,196.2083333
Cotton,Madhya Pradesh,2022,595000,1433250,410,6080,3.631955307,196.2083333
Cotton,Maharashtra,2022,4182440,8315674.82,338,6080,3.789162011,196.2083333
Cotton,Meghalaya,2022,2142,1814.4,144,6080,14.45391061,196.2083333
Cotton,Mizoram,2022,9,17.47,330,6080,5.506089385,196.2083333
Cotton,Nagaland,2022,5,17.65,600,6080,4.46226257,196.2083333
Cotton,Odisha,2022,216310,704916.12,554,6080,3.92849162,196.2083333
Cotton,Puducherry,2022,398,1058.21,452,6080,3.568184358,196.2083333
Cotton,Punjab,2022,248900,443627.65,303,6080,1.930083799,196.2083333
Cotton,Rajasthan,2022,814610,2774465.82,579,6080,1.772821229,196.2083333
Cotton,Tamil Nadu,2022,173270,319020.65,313,6080,3.137206704,196.2083333
Cotton,Telangana,2022,1972900,5744620.59,495,6080,3.68896648,196.2083333
Cotton,Tripura,2022,390,355.59,155,6080,5.528379888,196.2083333
Cotton,Uttar Pradesh,2022,3000,6741.18,382,6080,2.327988827,196.2083333
Cotton,West Bengal,2022,80,404.24,859,6080,4.293156425,196.2083333
Gram,Andhra Pradesh,2022,329000,456652,1388,5335,2.964078212,163.425
Gram,Assam,2022,2000,1532,766,5335,6.531815642,163.425
Gram,Bihar,2022,53168,57208.77,1076,5335,2.71952514,163.425
Gram,Chhattisgarh,2022,305970,279044.64,912,5335,3.823044693,163.425
Gram,Delhi,2022,2,4,2000,5335,1.867430168,163.425
Gram,Gujarat,2022,764050,1298120.95,1699,5335,2.550865922,163.425
Gram,Haryana,2022,28890,26318.79,911,5335,1.895642458,163.425
Gram,Himachal Pradesh,2022,210,214.2,1020,5335,3.112765363,163.425
Gram,Jammu And Kashmir,2022,6,1.2,200,5335,3.155307263,163.425
Gram,Jharkhand,2022,248898,291708.46,1172,5335,2.874944134,163.425
Gram,Karnataka,2022,822000,558960,680,5335,4.063882682,163.425
Gram,Madhya Pradesh,2022,2108000,3094544,1468,5335,3.631955307,163.425
Gram,Maharashtra,2022,2956100,3174851.4,1074,5335,3.789162011,163.425
Gram,Manipur,2022,950,930.05,979,5335,4.043072626,163.425
Gram,Meghalaya,2022,1891,2038.5,1078,5335,14.45391061,163.425
Gram,Nagaland,2022,590,487.93,827,5335,4.46226257,163.425
Gram,Odisha,2022,37750,28803.25,763,5335,3.92849162,163.425
Gram,Punjab,2022,1300,1359.8,1046,5335,1.930083799,163.425
Gram,Rajasthan,2022,1937321,1809457.81,934,5335,1.772821229,163.425
Gram,Tamil Nadu,2022,3830,3546.58,926,5335,3.137206704,163.425
Gram,Telangana,2022,148000,232064,1568,5335,3.68896648,163.425
Gram,Tripura,2022,94,62.04,660,5335,5.528379888,163.425
Gram,Uttar Pradesh,2022,680000,897940,1321,5335,2.327988827,163.425
Gram,Uttarakhand,2022,1000,800,800,5335,4.435363128,163.425
